Month,SKU,Actual_Demand,Forecast_Demand,MAPE_Pct,Seasonal_Factor,Trend_Base
Jan-2023,Lager_500ml,6070,6138,1.12,1.08,5684
Feb-2023,Lager_500ml,5726,5983,4.49,1.05,5698
Mar-2023,Lager_500ml,9812,9539,2.78,1.67,5712
Apr-2023,Lager_500ml,9787,9735,0.53,1.7,5726
May-2023,Lager_500ml,6300,6372,1.14,1.11,5740
Jun-2023,Lager_500ml,5473,5409,1.17,0.94,5755
Jul-2023,Lager_500ml,3566,3923,10.01,0.68,5769
Aug-2023,Lager_500ml,4182,4048,3.2,0.7,5783
Sep-2023,Lager_500ml,6383,6725,5.36,1.16,5797
Oct-2023,Lager_500ml,8352,9008,7.85,1.55,5811
Nov-2023,Lager_500ml,7804,7806,0.03,1.34,5825
Dec-2023,Lager_500ml,7754,7942,2.42,1.36,5840
Jan-2024,Lager_500ml,6377,6732,5.57,1.15,5854
Feb-2024,Lager_500ml,6039,5985,0.89,1.02,5868
Mar-2024,Lager_500ml,8987,9118,1.46,1.55,5882
Apr-2024,Lager_500ml,7724,8019,3.82,1.36,5896
May-2024,Lager_500ml,5269,5970,13.3,1.01,5910
Jun-2024,Lager_500ml,4973,5628,13.17,0.95,5925
Jul-2024,Lager_500ml,5121,4870,4.9,0.82,5939
Aug-2024,Lager_500ml,3740,4107,9.81,0.69,5953
Sep-2024,Lager_500ml,6720,6683,0.55,1.12,5967
Oct-2024,Lager_500ml,9486,9630,1.52,1.61,5981
Nov-2024,Lager_500ml,8915,9353,4.91,1.56,5996
Dec-2024,Lager_500ml,7457,8414,12.83,1.4,6010
Jan-2023,Wheat_330ml,16684,16878,1.16,1.05,16075
Feb-2023,Wheat_330ml,18662,18693,0.17,1.16,16115
Mar-2023,Wheat_330ml,22243,21971,1.22,1.36,16155
Apr-2023,Wheat_330ml,21493,22025,2.48,1.36,16195
May-2023,Wheat_330ml,16238,16722,2.98,1.03,16235
Jun-2023,Wheat_330ml,18800,19205,2.15,1.18,16275
Jul-2023,Wheat_330ml,11380,11420,0.35,0.7,16315
Aug-2023,Wheat_330ml,11500,11939,3.82,0.73,16355
Sep-2023,Wheat_330ml,17461,18363,5.17,1.12,16395
Oct-2023,Wheat_330ml,23855,24325,1.97,1.48,16435
Nov-2023,Wheat_330ml,25338,26526,4.69,1.61,16475
Dec-2023,Wheat_330ml,26487,26921,1.64,1.63,16516
Jan-2024,Wheat_330ml,16217,16556,2.09,1.0,16556
