Distributor_ID,Region,OTIF_Pct,Fill_Rate_Pct,Damage_Rate_Pct,Avg_TAT_Days,Volume_Cases,Performance_Score,Grade
DIST-NOR-01,North India,70.6,95.5,2.81,5.0,28327,75.2,B
DIST-NOR-02,Central India,88.0,88.3,1.96,1.9,5616,85.5,A
DIST-NOR-03,West India,62.9,80.1,2.84,4.5,25537,68.6,C
DIST-NOR-04,West India,92.7,77.3,1.55,4.4,16020,80.9,B
DIST-SOU-01,Central India,77.5,97.9,2.95,3.1,16665,80.9,B
DIST-SOU-02,West India,63.9,89.3,2.21,2.3,41736,76.3,B
DIST-SOU-03,Central India,62.7,88.8,3.14,3.3,43664,72.4,B
DIST-SOU-04,Central India,93.7,76.3,1.95,4.8,8103,79.6,B
DIST-EAS-01,North India,89.0,90.4,0.24,1.8,37358,90.1,A
DIST-EAS-02,East India,67.2,91.4,0.77,2.9,17744,80.1,B
DIST-EAS-03,West India,95.0,94.3,1.0,3.1,39529,89.9,A
DIST-EAS-04,East India,70.2,75.9,3.0,2.6,44456,72.4,B
DIST-WES-01,North India,69.2,91.1,2.18,4.1,29351,76.0,B
DIST-WES-02,Central India,89.5,87.1,1.33,3.0,20362,85.3,A
DIST-WES-03,Central India,94.8,88.2,2.94,2.0,23248,85.8,A
DIST-WES-04,South India,82.9,78.7,3.21,4.2,27414,74.9,B
DIST-CEN-01,North India,76.6,81.5,2.95,4.0,17075,74.4,B
DIST-CEN-02,East India,81.2,96.1,2.28,4.5,21650,80.9,B
DIST-CEN-03,West India,93.0,96.6,3.19,1.9,16940,87.3,A
DIST-CEN-04,South India,75.4,75.9,2.5,2.9,42450,74.8,B
