Vehicle_ID,Warehouse,Region,Vehicle_Type,Capacity_Cases,Age_Years,Trips_Per_Month,KM_Per_Month,Avg_Load_Cases,Load_Utilization_Pct,Utilization_Days_PM,Idle_Days_PM,Maintenance_Cost_INR_PM,Breakdowns_PM,Fuel_Efficiency_KMPL,CO2_Emission_KG_PM,Status
VH-0001,WH-DEL-01,North India,32-ft Truck,800,4,27,2835,546,68.2,24,6,8559,0,6.0,1266.3,Active
VH-0002,WH-DEL-01,North India,32-ft Truck,800,7,12,3504,539,67.4,21,9,25729,0,5.3,1771.8,Active
VH-0003,WH-DEL-01,North India,32-ft Truck,800,2,28,9296,676,84.5,27,3,5310,0,6.7,3718.4,Active
VH-0004,WH-DEL-01,North India,32-ft Truck,800,7,10,2560,699,87.4,22,8,13157,3,6.8,1008.9,In Repair
VH-0005,WH-DEL-01,North India,32-ft Truck,800,2,14,3822,450,56.2,27,3,5316,1,5.7,1797.0,Active
VH-0006,WH-DEL-01,North India,32-ft Truck,800,9,16,3280,623,77.9,19,11,27088,3,5.8,1515.6,In Repair
VH-0007,WH-DEL-01,North India,32-ft Truck,800,3,20,4780,649,81.1,26,4,7126,0,6.8,1883.9,Active
VH-0008,WH-DEL-01,North India,32-ft Truck,800,2,19,3439,734,91.8,23,7,7782,0,5.9,1562.1,Active
VH-0009,WH-DEL-01,North India,20-ft Truck,500,5,11,3586,389,77.8,26,4,13829,1,7.2,1334.8,Active
VH-0010,WH-DEL-01,North India,20-ft Truck,500,8,19,2926,375,75.0,20,10,15988,2,7.0,1120.2,In Repair
VH-0011,WH-DEL-01,North India,20-ft Truck,500,6,21,4515,344,68.8,21,9,10067,2,9.3,1301.1,In Repair
VH-0012,WH-DEL-01,North India,20-ft Truck,500,7,21,5565,311,62.2,18,12,18374,1,9.0,1657.1,Active
VH-0013,WH-DEL-01,North India,20-ft Truck,500,4,11,2585,374,74.8,26,4,14415,0,5.2,1332.3,Active
VH-0014,WH-DEL-01,North India,20-ft Truck,500,3,16,4416,408,81.6,24,6,11040,1,7.6,1557.2,Active
VH-0015,WH-DEL-01,North India,20-ft Truck,500,6,11,2948,422,84.4,18,12,16446,2,7.2,1097.3,In Repair
VH-0016,WH-DEL-01,North India,20-ft Truck,500,4,17,1751,333,66.6,23,7,14563,0,7.6,617.5,Active
