Warehouse,SKU,Daily_Demand_Cases,Annual_Demand,Holding_Cost_INR,Ordering_Cost_INR,Lead_Time_Days,Current_Stock,EOQ_Cases,Safety_Stock,Reorder_Point,Stockout_Risk
WH-DEL-01,Lager_500ml,48,17520,3.6,921,5,1449,2994,360,600,Low
WH-DEL-01,Wheat_330ml,43,15695,3.0,1353,7,362,3762,451,752,High
WH-DEL-01,Stout_650ml,65,23725,4.4,1711,2,1911,4295,195,325,Low
WH-DEL-01,IPA_330ml,52,18980,3.2,700,7,1877,2881,546,910,Low
WH-DEL-01,Premium_Lager_330ml,79,28835,4.0,1638,5,118,4859,592,987,High
WH-DEL-01,Strong_Beer_500ml,101,36865,3.5,1487,6,667,5596,909,1515,High
WH-DEL-01,Light_Beer_330ml,200,73000,2.8,1415,2,1643,8589,600,1000,Low
WH-MUM-01,Lager_500ml,177,64605,3.6,1760,2,538,7947,531,885,High
WH-MUM-01,Wheat_330ml,160,58400,3.0,534,3,774,4559,720,1200,High
WH-MUM-01,Stout_650ml,61,22265,4.4,1976,7,625,4471,640,1067,High
WH-MUM-01,IPA_330ml,163,59495,3.2,1701,4,1594,7953,978,1630,High
WH-MUM-01,Premium_Lager_330ml,92,33580,4.0,1647,3,1570,5258,414,690,Low
WH-MUM-01,Strong_Beer_500ml,175,63875,3.5,1093,4,250,6316,1050,1750,High
WH-MUM-01,Light_Beer_330ml,180,65700,2.8,1956,2,631,9580,540,900,High
WH-BLR-01,Lager_500ml,147,53655,3.6,1653,7,197,7019,1543,2572,High
WH-BLR-01,Wheat_330ml,122,44530,3.0,977,4,1002,5385,732,1220,High
WH-BLR-01,Stout_650ml,62,22630,4.4,1648,3,1305,4117,279,465,Low
WH-BLR-01,IPA_330ml,121,44165,3.2,690,7,937,4364,1270,2117,High
WH-BLR-01,Premium_Lager_330ml,151,55115,4.0,940,7,215,5089,1585,2642,High
WH-BLR-01,Strong_Beer_500ml,174,63510,3.5,1178,7,552,6538,1827,3045,High
WH-BLR-01,Light_Beer_330ml,62,22630,2.8,1846,7,906,5462,651,1085,High
WH-KOL-01,Lager_500ml,156,56940,3.6,516,6,623,4040,1404,2340,High
WH-KOL-01,Wheat_330ml,160,58400,3.0,1558,5,1768,7788,1200,2000,High
WH-KOL-01,Stout_650ml,190,69350,4.4,1582,7,1677,7061,1995,3325,High
WH-KOL-01,IPA_330ml,135,49275,3.2,1179,5,1510,6025,1012,1687,High
WH-KOL-01,Premium_Lager_330ml,199,72635,4.0,805,6,1924,5406,1791,2985,High
WH-KOL-01,Strong_Beer_500ml,72,26280,3.5,1252,7,1456,4336,756,1260,Medium
WH-KOL-01,Light_Beer_330ml,166,60590,2.8,1858,3,1887,8967,747,1245,Low
WH-HYD-01,Lager_500ml,70,25550,3.6,1576,3,1568,4729,315,525,Low
WH-HYD-01,Wheat_330ml,167,60955,3.0,503,2,1179,4521,501,835,Medium
WH-HYD-01,Stout_650ml,85,31025,4.4,815,3,864,3390,382,637,Medium
WH-HYD-01,IPA_330ml,83,30295,3.2,585,5,1939,3328,622,1037,Low
WH-HYD-01,Premium_Lager_330ml,160,58400,4.0,1553,4,974,6734,960,1600,High
WH-HYD-01,Strong_Beer_500ml,167,60955,3.5,1989,4,1495,8323,1002,1670,High
WH-HYD-01,Light_Beer_330ml,138,50370,2.8,1493,5,1408,7329,1035,1725,High
