Warehouse,Month,Total_Capacity_Cases,Receipts_Cases,Dispatches_Cases,Closing_Stock_Cases,Space_Utilization_Pct,Pick_Accuracy_Pct,Order_Cycle_Time_Hrs,Putaway_Time_Hrs,Labour_Hours,Overtime_Hours,Damaged_Cases,Damage_Rate_Pct,Dock_Turns_Per_Day,Orders_Processed,Returns_Cases,Shrinkage_Pct
WH-DEL-01,Jan-2024,10175,3725,3915,5881,57.8,99.27,3.12,1.19,1993,61,49,1.252,32,583,31,0.588
WH-DEL-01,Feb-2024,10175,3714,3667,7067,69.5,98.84,1.47,1.46,831,1,22,0.6,24,509,38,0.17
WH-DEL-01,Mar-2024,10175,7864,4208,4703,46.2,99.75,1.23,1.31,1152,86,38,0.903,20,480,32,0.613
WH-DEL-01,Apr-2024,10175,3570,2992,5074,49.9,96.72,3.49,1.27,1731,130,18,0.602,17,447,24,0.764
WH-DEL-01,May-2024,10175,7994,4443,2192,21.5,99.25,2.4,1.55,1782,168,11,0.248,27,323,28,0.318
WH-DEL-01,Jun-2024,10175,3326,6608,8955,88.0,97.8,1.93,1.5,2379,3,42,0.636,29,521,32,0.711
WH-DEL-01,Jul-2024,10175,3586,4280,3211,31.6,99.19,2.39,1.04,2253,171,53,1.238,13,239,51,0.735
WH-DEL-01,Aug-2024,10175,5308,6020,6301,61.9,96.89,3.5,1.3,2338,121,34,0.565,14,311,26,0.309
WH-DEL-01,Sep-2024,10175,3129,4707,8600,84.5,98.29,1.2,1.38,1748,179,58,1.232,32,309,50,0.38
WH-DEL-01,Oct-2024,10175,6421,3217,2326,22.9,98.34,1.25,1.19,1503,181,45,1.399,27,529,46,0.49
WH-DEL-01,Nov-2024,10175,5914,4400,3832,37.7,98.48,2.67,1.27,2431,40,57,1.295,32,377,41,0.17
WH-DEL-01,Dec-2024,10175,6745,7324,6495,63.8,97.55,2.2,1.44,1977,57,51,0.696,21,546,46,0.462
WH-MUM-01,Jan-2024,19170,7754,5512,14056,73.3,99.06,2.33,1.24,2423,65,42,0.762,35,248,48,0.572
WH-MUM-01,Feb-2024,19170,6642,6345,10828,56.5,96.74,2.12,1.34,1470,41,34,0.536,21,293,58,0.361
WH-MUM-01,Mar-2024,19170,3759,2950,13046,68.1,96.61,2.03,1.94,1012,1,6,0.203,26,551,6,0.243
WH-MUM-01,Apr-2024,19170,3292,5609,10714,55.9,99.0,2.66,1.51,1886,140,8,0.143,27,310,26,0.733
WH-MUM-01,May-2024,19170,4456,4588,16208,84.5,97.43,2.0,1.12,1342,97,16,0.349,24,492,22,0.111
WH-MUM-01,Jun-2024,19170,3232,3557,6623,34.5,96.63,1.73,1.31,1451,143,45,1.265,21,324,21,0.442
WH-MUM-01,Jul-2024,19170,3616,5554,4762,24.8,97.68,2.69,1.83,2073,191,21,0.378,13,400,53,0.64
WH-MUM-01,Aug-2024,19170,5366,5879,2116,11.0,97.71,1.74,0.52,1325,144,66,1.123,16,221,6,0.557
WH-MUM-01,Sep-2024,19170,3965,3267,4599,24.0,98.3,3.34,1.72,2436,163,63,1.928,26,335,32,0.533
WH-MUM-01,Oct-2024,19170,4323,5221,9213,48.1,99.18,1.99,0.77,1837,28,78,1.494,25,378,36,0.199
WH-MUM-01,Nov-2024,19170,6443,5429,13977,72.9,98.27,2.49,1.31,1005,142,67,1.234,27,560,6,0.143
WH-MUM-01,Dec-2024,19170,5549,4593,12621,65.8,98.5,3.43,1.18,1971,42,65,1.415,29,223,19,0.637
WH-BLR-01,Jan-2024,11150,6548,5774,4712,42.3,99.67,2.66,1.89,2149,123,80,1.386,15,488,57,0.681
WH-BLR-01,Feb-2024,11150,7317,5021,10911,97.9,99.14,1.37,0.6,2233,21,80,1.593,18,225,21,0.185
WH-BLR-01,Mar-2024,11150,7152,6963,10699,96.0,98.86,3.59,1.31,2014,155,62,0.89,34,320,36,0.185
WH-BLR-01,Apr-2024,11150,5658,4038,7077,63.5,98.43,2.35,0.76,2272,184,73,1.808,13,368,50,0.321
WH-BLR-01,May-2024,11150,5913,6236,5634,50.5,96.63,1.53,1.78,2279,84,35,0.561,23,417,7,0.643
WH-BLR-01,Jun-2024,11150,6610,4901,5468,49.0,97.52,2.95,1.51,1837,192,73,1.489,25,211,11,0.466
WH-BLR-01,Jul-2024,11150,4495,4539,7279,65.3,98.7,1.54,2.0,1479,155,80,1.763,34,422,23,0.397
WH-BLR-01,Aug-2024,11150,6034,3271,6708,60.2,97.45,2.46,1.4,1505,24,23,0.703,24,550,30,0.715
WH-BLR-01,Sep-2024,11150,6431,3804,9375,84.1,96.89,3.45,1.66,1858,64,12,0.315,20,447,31,0.127
WH-BLR-01,Oct-2024,11150,6304,5480,2238,20.1,99.39,1.54,1.91,1951,47,42,0.766,26,280,5,0.527
WH-BLR-01,Nov-2024,11150,6911,6160,6347,56.9,96.93,2.62,1.43,1943,120,57,0.925,18,322,56,0.38
WH-BLR-01,Dec-2024,11150,4132,4085,7898,70.8,99.28,1.48,0.92,2265,27,27,0.661,24,474,26,0.349
WH-KOL-01,Jan-2024,14811,4054,3978,4695,31.7,99.68,2.13,1.89,1421,17,52,1.307,27,535,34,0.095
WH-KOL-01,Feb-2024,14811,6534,6033,12163,82.1,96.53,2.88,0.98,2228,80,32,0.53,30,358,35,0.198
WH-KOL-01,Mar-2024,14811,4743,6972,3225,21.8,96.53,2.07,1.55,1969,146,17,0.244,25,579,31,0.675
WH-KOL-01,Apr-2024,14811,5523,5954,6999,47.3,96.68,1.31,1.07,2271,45,53,0.89,33,333,26,0.227
WH-KOL-01,May-2024,14811,6500,3900,2721,18.4,98.41,3.17,1.48,2380,104,20,0.513,29,286,59,0.495
WH-KOL-01,Jun-2024,14811,7831,3179,9489,64.1,98.5,1.67,0.96,801,3,5,0.157,29,583,60,0.274
WH-KOL-01,Jul-2024,14811,4331,4226,13276,89.6,97.03,2.82,0.98,2218,111,72,1.704,24,251,18,0.213
WH-KOL-01,Aug-2024,14811,6072,7070,12008,81.1,96.95,2.33,1.82,1220,131,24,0.339,32,374,6,0.709
WH-KOL-01,Sep-2024,14811,4051,6906,11447,77.3,96.64,1.94,1.77,1515,67,37,0.536,19,332,39,0.239
WH-KOL-01,Oct-2024,14811,3056,6890,2268,15.3,96.61,3.79,1.06,930,148,61,0.885,35,412,16,0.361
WH-KOL-01,Nov-2024,14811,7218,3602,11754,79.4,97.42,3.45,1.19,1759,93,74,2.054,12,270,17,0.089
WH-KOL-01,Dec-2024,14811,7915,4172,8980,60.6,97.24,3.47,1.42,1214,18,23,0.551,27,418,47,0.755
WH-HYD-01,Jan-2024,8752,6988,3561,4468,51.1,97.75,1.51,0.67,2315,21,37,1.039,22,509,17,0.121
WH-HYD-01,Feb-2024,8752,5041,4476,3946,45.1,97.34,2.65,0.89,1837,69,62,1.385,12,476,39,0.493
WH-HYD-01,Mar-2024,8752,3144,7077,5616,64.2,99.57,1.58,1.22,1825,107,69,0.975,22,419,17,0.408
WH-HYD-01,Apr-2024,8752,4670,3993,8053,92.0,96.84,1.86,0.98,1933,113,47,1.177,32,486,29,0.307
WH-HYD-01,May-2024,8752,7881,7465,6627,75.7,96.53,1.97,0.74,1503,162,20,0.268,31,535,35,0.054
WH-HYD-01,Jun-2024,8752,3083,5254,6570,75.1,98.47,3.11,0.58,1346,92,30,0.571,13,529,52,0.741
WH-HYD-01,Jul-2024,8752,6032,2834,6137,70.1,98.61,1.97,1.09,2027,39,61,2.152,33,573,34,0.667
WH-HYD-01,Aug-2024,8752,7000,2840,7558,86.4,98.92,2.75,1.35,1641,40,63,2.218,19,226,20,0.163
WH-HYD-01,Sep-2024,8752,4846,7488,8221,93.9,98.42,3.24,0.65,1673,163,80,1.068,20,406,26,0.427
WH-HYD-01,Oct-2024,8752,3052,6940,5689,65.0,96.97,3.74,0.67,2427,105,39,0.562,25,430,27,0.661
WH-HYD-01,Nov-2024,8752,6363,3046,5846,66.8,99.42,1.43,1.08,1711,26,13,0.427,35,310,43,0.439
WH-HYD-01,Dec-2024,8752,3790,6279,5333,60.9,96.72,1.21,1.34,1429,164,71,1.131,22,431,19,0.723
